cv_id,job_id,relevance,reason
MER00043I2,JOB_MER00043I2,1,"Candidate meets most of the job requirements, including relevant skills and experience in Computer Science (Automotive Technology), as well as the required part-time schedule."
MER00043I2,JOB_MER00041FN,1,"Candidate has relevant skills and experience in Computer Science, Automotive Technology, and software development. Their education and training align with the job requirements."
MER00043I2,JOB_MER0003THB,0,"ERROR: 500, message='Internal Server Error', url='http://ollama-service:11434/api/generate'"
MER00043I2,JOB_MER00040G3,1,"Candidate has relevant skills, such as programming languages, operating systems, and software tools. They also have experience in IT environments and excellent problem-solving skills."
MER00043I2,JOB_MER000440T,0,"ERROR: 500, message='Internal Server Error', url='http://ollama-service:11434/api/generate'"
MER00043I2,JOB_MER0003WC2,0,"Lack of experience in active safety functions and ADAS system development, although the candidate has a degree in Computer Science (Automotive Technology) and programming skills."
MER00043I2,JOB_494743,0,"Job requires expertise in management consulting, industry-specific experience and a Master's degree, while the candidate has skills relevant to IT, automotive technology and programming languages. The job requirements are not aligned with the candidate's educational background or work experience."
MER00043I2,JOB_505890,0,"While the candidate has relevant skills like Python, C++, and Java, their education is still ongoing (2026/2027), which may not align with the full-time requirement of the job. Additionally, the job requires 3 years of work experience in a consultancy, which the candidate lacks."
MER00043I2,JOB_504994,0,"Candidate lacks experience in genai and agentic systems, as well as industry-specific knowledge, to take ownership of developing solutions that leverage foundation models and multi-agent frameworks."
MER00043I2,JOB_MER00042W1,0,"Candidate does not meet the requirements for a full-time internship, as they are currently studying and expected to graduate in December 2028."
MER00043I2,JOB_MER00040PN,0,"Job does not match required skills and experience. Although candidate has a degree in Computer Science, the job is focused on labor and social law, which may require different skill sets."
MER00043I2,JOB_MER00043WJ,0,"Lack of experience in automotive manufacturing and diagnostic electronics, as well as the specific job requirements for the Inline Technician role."
MER00043I2,JOB_MER00043NP,0,"Lack of relevant experience in assembly and manufacturing processes, with only skills mentioned as being for IT environments."
MER00043I2,JOB_MER00043AJ,1,"The candidate has a strong affinity for IT and pragmatism, as well as excellent problem-solving skills, which aligns with the job's focus on research and development. Additionally, their degree in Computer Science (Automotive Technology) and experience with programming languages such as Python, C++, and Java match the required skills."
MER00043I2,JOB_MER0003N2B,0,"Lacks relevant skills for die casting and permanent gravity casting, as well as metalworking tasks. While having a degree in Computer Science (Automotive Technology) is related to the automotive industry, it does not directly align with the job requirements."
MER00043I2,JOB_MER00043EC,0,"The candidate lacks relevant technical skills for the die casting and chill casting role, with no experience in metalworking or manufacturing processes. Their degree is in Automotive Technology with a focus on Computer Science."
MER00043I2,JOB_MER00043CU,1,"Candidate has relevant education in Automotive Technology, programming skills in Python and C++, and experience in IT environments, making them a suitable candidate for this job."
