cv_id,job_id,relevance,reason
MER00043I2,JOB_MER00043I2,1,"Candidate has relevant skills, education and experience for the job in automated driving and driving assistance systems at Mercedes-Benz AG."
MER00043I2,JOB_MER00041FN,1,"Candidate has a degree in Computer Science, relevant courses and software tools mentioned. Additionally, they have experience with programming languages, operating systems, and problem-solving skills, making them suitable for the role."
MER00043I2,JOB_MER0003THB,1,"Candidate has relevant skills in programming languages, software tools, and operating systems. They also have experience with problem-solving, analytical, and logical thinking."
MER00043I2,JOB_MER00040G3,0,"While the candidate has relevant skills and experience in automotive technology, they are currently a part-time working student with limited work experience. The job requires full-time employment."
MER00043I2,JOB_MER000440T,0,"While the candidate has relevant skills and experience, their current degree status (studying for the 4th semester) and full-time job requirement do not align with the full-time position described in the job posting."
MER00043I2,JOB_MER0003WC2,0,"Lacks experience in Active Safety functions, Automotive Industry and ADAS system development. While the candidate has a degree in Computer Science (Automotive Technology), the job requires at least 3 years of experience in ADAS system or software development."
MER00043I2,JOB_494743,0,"The candidate lacks experience in management consulting, strategy, and the specific domain of Siemens Advanta, which is a significant requirement for this role."
MER00043I2,JOB_505890,0,No match for key requirements: Master's degree in Computer Science or related fields and experience with genai applications.
MER00043I2,JOB_504994,0,"Lack of relevant experience in AI, Agentic Systems and Industrial AI. Despite having a degree in Computer Science with focus on Automotive Technology, the candidate's skills and experience don't align closely enough with the job requirements."
MER00043I2,JOB_MER00042W1,1,"The candidate has a strong match in terms of skills and experience, particularly in the field of automotive technology and software development. Their relevant education and coursework also align with the job requirements."
MER00043I2,JOB_MER00040PN,0,"No experience in labor and social law, despite being a part of the Human Resources department at Mercedes-Benz AG. The role requires expertise in this area, which is not explicitly mentioned in the CV."
MER00043I2,JOB_MER00043WJ,0,"Lack of experience in automotive manufacturing, electronics, and quality methods. The candidate's skills are more focused on IT and programming languages."
MER00043I2,JOB_MER00043NP,0,"Lack of relevant skills for a production-focused role. While the candidate has programming and IT skills, they don't have experience with lean manufacturing or process optimization."
MER00043I2,JOB_MER00043AJ,1,"Candidate has a degree in Computer Science (Automotive Technology) and relevant courses, which aligns with the job requirements. They also have programming skills, familiarity with IT environments, and problem-solving skills, making them a suitable candidate for the role."
MER00043I2,JOB_MER0003N2B,0,"The candidate lacks relevant skills and experience for a die casting mechanic position, with no mention of metalworking or manufacturing expertise in their CV."
MER00043I2,JOB_MER00043EC,0,"The candidate lacks experience in die casting and chill casting, as well as metalworking skills, which are essential for the job."
MER00043I2,JOB_MER00043CU,0,"Lack of experience in electrical engineering, vehicle mechatronics technician role requires hands-on experience with electrical systems and mechanics"
MER00043I2,JOB_MER0003PNG,1,"Candidate has a relevant degree in Computer Science (Automotive Technology) and skills such as programming languages, operating systems, and software tools. The job description requires knowledge of IT environments, problem-solving skills, and strong analytical thinking, which are also mentioned in the candidate's CV."
MER00043I2,JOB_MER00042Z0,0,"The candidate's skills and education do not directly align with the job requirements for a vehicle mechatronics technician. The candidate has programming skills but no experience with electrical systems or high-voltage technology, which are crucial for this role."
MER00043I2,JOB_MER0003NBY,0,"Although the candidate has a degree in Computer Science, there is no mention of mechanical engineering or technical skills required for an industrial mechanic role. Additionally, the job requires specific manufacturing knowledge and experience with complex systems, which may not align with the candidate's background."
MER00043I2,JOB_MER00043R5,0,"Job requires hands-on experience in vehicle maintenance and repair, while the candidate's background is in Computer Science (Automotive Technology) and lacks relevant work experience."
MER00043I2,JOB_MER00043R1,0,"The job requires extensive technical knowledge and experience in mechatronics, automotive technology, and electrical systems. The candidate's skills are limited to programming languages (Python, C++, Java), operating systems (Windows), and software tools (MS Office, Git, Jira)."
MER00043I2,JOB_MER0003NUV,0,"The candidate's skills and education do not align with the job requirements. They lack experience in body maintenance technology, which is a specific area of focus for this training."
MER00043I2,JOB_MER00043QA,0,"The job requires extensive experience in non-destructive structural testing, welding technology, and automotive production, which is not explicitly mentioned in the candidate's CV. Additionally, the job is full-time, while the candidate is a part-time working student."
MER00043I2,JOB_MER0003TE5,0,"Lack of experience in virtualization tools, and the job requires strong expertise in these areas."
MER00043I2,JOB_MER0003T8G,0,"Although the candidate has relevant technical skills, their experience is not directly related to equipment management in a production environment. The job requires specific knowledge of machine operation and supervision, which is not explicitly mentioned in the CV."
MER00043I2,JOB_MER0003UJ0,0,"Lack of relevant experience in automotive body repair and rework, as well as metal finishing techniques"
MER00043I2,JOB_MER000418L,1,"Candidate has relevant skills and education for the role, specifically in Computer Science (Automotive Technology) with experience in IT environments."
MER00043I2,JOB_MER000404I,1,"Candidate has strong skills in Python, C++, Java, and software development, which aligns with the job requirements. Additionally, their experience in IT environments and problem-solving skills are also relevant to the role."
